d1_monto,n,cum_n,percent,cum_p
140000,1,1,0.036,0.036
160000,1,2,0.036,0.071
180237,1,3,0.036,0.107
250000,1,4,0.036,0.143
258749,1,5,0.036,0.179
260342,1,6,0.036,0.214
300395,2,8,0.071,0.286
315000,1,9,0.036,0.321
320000,1,10,0.036,0.357
322178,1,11,0.036,0.393
327000,1,12,0.036,0.429
360474,1,13,0.036,0.464
380500,1,14,0.036,0.5
382586,1,15,0.036,0.536
390000,1,16,0.036,0.571
402722,1,17,0.036,0.607
413000,1,18,0.036,0.643
450000,2,20,0.071,0.714
453062,1,21,0.036,0.75
500658,1,22,0.036,0.786
600790,2,24,0.071,0.857
604083,1,25,0.036,0.893
805444,1,26,0.036,0.929
851119,1,27,0.036,0.964
1001316,1,28,0.036,1
